customerID,DOB,Gender,State,PinCode,transactionDate,store_code,store_description,till_no,transaction_number_by_till,promo_code,promotion_description,product_code,product_description,sales,discountUsed
BBID_20499,10-05-1986,male,Punjab,400099,18-12-2016,2615,BB-AMRITSAR-TRILIUM MALL,14,51080,NONPROMO,,1000443231,PATANJALI TOMATO KETCHUP BT 500g,70,Payback
BBID_2042160,24-02-1978,female,Punjab,999999,31-07-2016,2615,BB-AMRITSAR-TRILIUM MALL,4,55543,NONPROMO,,108013754,NYCIL TALC COOL HERBAL 150G,82,Payback
BBID_2042440,10-03-1991,male,Punjab,144005,04-08-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,50054,NONPROMO,,108007709,CHERRY WAX POLISH DARK TAN 15G,24,Payback
BBID_2042441,17-05-1988,male,Punjab,700056,12-09-2016,2615,BB-AMRITSAR-TRILIUM MALL,13,52905,NONPROMO,,1.00E+12,"LECK-0160-EV15-A-40-CT-PT-EN, XXL, WHITE",399,Payback
BBID_2042864,16-09-1970,male,Punjab,226016,11-06-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,9773,1294676,IZ 10 RS OFF REG Powder Concentrates,108035055,TANG POWDER CONC MANGO 500G,115,Payback
BBID_2042907,12-11-1980,male,Punjab,151001,28-02-2016,2615,BB-AMRITSAR-TRILIUM MALL,3,26614,5050,Ex500,300973984,ACT II IPC SOUTHERN SPICE 50g/70g,28.89,Payback
BBID_2044404,10-06-1983,male,Punjab,410014,04-10-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,60869,NONPROMO,,1.00E+12,"SSX-3151-REG-ASS1-SPN, FS, DARK RED",98,Payback
BBID_2044781,02-09-1978,female,Punjab,560029,08-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,9,80036,NONPROMO,,1000569964,TRIVENI EGGS MASTER WHITE 12P,80,Payback
BBID_2045005,10-10-1973,female,Punjab,134112,24-10-2015,2615,BB-AMRITSAR-TRILIUM MALL,2,7126,NONPROMO,,300954061,DJ&C-SOCKS-ANKLE-STRIPPER-PO2,198,Payback
BBID_2045629,23-05-1989,male,Punjab,500081,13-01-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,16073,1068255,IN SHOP 499 GET 100 RS OFF ASSORTED 2615,108004423,FORTUNE SOYABEAN OIL PP 1L,123.74,Payback
BBID_20412198,05-03-1984,female,Punjab,302004,05-10-2015,2615,BB-AMRITSAR-TRILIUM MALL,11,4537,1012113,"AZ 25 % OFF TEA BAG,SPECIALITY TEA VX EX",300663130,TATA TETLEY GRN TEA BAG GIN MINT LMN 30P,120,Payback
BBID_20412524,15-12-1964,male,Punjab,591124,21-02-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,22164,NONPROMO,,1.00E+12,"LBL-4151-523-VIN, 40 INCHES, GREEN",129,Payback
BBID_20413714,10-07-1988,female,Punjab,110091,14-08-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,51911,NONPROMO,,1000443270,PATANJALI COW GHEE 500ml,460,Payback
BBID_20413911,25-07-1961,male,Punjab,321001,05-06-2016,2615,BB-AMRITSAR-TRILIUM MALL,10,39210,NONPROMO,,1000368615,BRITANNIA COOKIES GOODDAY CHUNKIES 60g,30,Payback
BBID_20414187,25-10-1980,male,Punjab,999999,09-04-2017,2615,BB-AMRITSAR-TRILIUM MALL,9,99153,1276567,"IZ 1@8,2@18 RS OFF REG Carbonated Soft D",300700370,LIMCA SOFT DRINK 1.25L,52,Payback
BBID_20414204,14-01-1974,male,Punjab,440015,22-12-2016,2615,BB-AMRITSAR-TRILIUM MALL,9,76217,NONPROMO,,1.00E+12,"Terry Kitchen towel pk, 38X63 CM, BLACK",99,Payback
BBID_20414204,14-01-1974,male,Punjab,440015,03-02-2017,2615,BB-AMRITSAR-TRILIUM MALL,9,85880,1245068,IZ 5 RS OFF REG Vitamins minerals & supp,108022033,DABUR DIGESTIVE HAJMOLA IMLI 120P,23,Payback
BBID_20414231,28-05-1988,male,Punjab,125103,10-01-2016,2615,BB-AMRITSAR-TRILIUM MALL,2,18935,1075784,NZ 5 RS OFF SWEETS & CANDIES,1000470646,ALPENLIEBE JUZT JELLY FRUITY BEARS 72.8g,40,Payback
BBID_20414784,14-01-1987,male,Punjab,282002,19-11-2016,2615,BB-AMRITSAR-TRILIUM MALL,11,74047,NONPROMO,,1000598673,TS HAIR BAND TINY 3P,39,Payback
BBID_20418710,08-03-1992,male,Punjab,226012,06-01-2017,2615,BB-AMRITSAR-TRILIUM MALL,9,79760,NONPROMO,,108008172,CLOSE UP TPASTE RED 150G,84,Payback
BBID_20420108,01-10-1986,male,Punjab,248001,14-08-2016,2615,BB-AMRITSAR-TRILIUM MALL,4,58125,NONPROMO,,300840018,Fiber bag 45 GSM 20x25,7,Payback
BBID_20420136,28-10-1988,male,Punjab,,18-05-2016,2615,BB-AMRITSAR-TRILIUM MALL,4,43608,1128724,IN TKTSHOP 499&ABV GET 100 RS DIS ON WED,108002298,PH CHANA RED PP 1Kg,80.15,Payback
BBID_20420150,23-04-1974,male,Punjab,999999,06-03-2017,2615,BB-AMRITSAR-TRILIUM MALL,10,89731,NONPROMO,,300803655,COLGATE TBRUSH ZIG ZAG SOFT 2+1,54,Payback
BBID_20420337,02-02-1970,female,Punjab,999999,04-06-2017,2615,BB-AMRITSAR-TRILIUM MALL,11,15429,NONPROMO,,108020429,BRITANNIA BISCUT PRM SUJI RUSK 300g,40,Payback
BBID_20420583,06-09-1978,male,Punjab,144401,09-04-2017,2615,BB-AMRITSAR-TRILIUM MALL,12,90243,1274864,"IZ 1@10,2@25 RS OFF REG Liquid Concentra",108032209,ROOH AFZA SHARBAT 750ml,120,Payback
BBID_20421535,19-11-1984,female,Punjab,144001,04-07-2016,2615,BB-AMRITSAR-TRILIUM MALL,13,42298,NONPROMO,,1000264955,NUTRELA SOYA CHNK+MINI 400g+GRANL 90g OP,79,Payback
BBID_20421709,21-10-1992,female,Punjab,999999,03-04-2016,2615,BB-AMRITSAR-TRILIUM MALL,11,29848,NONPROMO,,1000032404,OREO CRM BIS STRAWBERRY SANDWICH PP 150g,35,Payback
BBID_20424020,27-11-1977,male,Punjab,143001,12-12-2015,2615,BB-AMRITSAR-TRILIUM MALL,14,12459,NONPROMO,,108020340,BOURNVITA HEALTH DRINK JR 1Kg,380,Payback
BBID_20424159,15-06-1986,male,Punjab,400046,22-10-2016,2615,BB-AMRITSAR-TRILIUM MALL,2,51038,NONPROMO,,1000453066,KURKURE NAMK NAVRATAN MIX 175g,35,Payback
